latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
28.18317430833334,85.30377107777777,1710.4703,15.50000,245,2023,-68.034
28.18317430833334,85.30377107777777,1710.4704,15.50833,245,2023,-67.841
28.18317430833334,85.30377107777777,1710.4704,15.51667,245,2023,-67.400
28.18317430833334,85.30377107777777,1710.4705,15.52500,245,2023,-67.819
28.18317430833334,85.30377107777777,1710.4705,15.53333,245,2023,-66.778
28.18317430833334,85.30377107777777,1710.4705,15.54167,245,2023,-67.725
28.18317430833334,85.30377107777777,1710.4705,15.55000,245,2023,-67.343
28.18317430833334,85.30377107777777,1710.4705,15.55833,245,2023,-67.859
28.18317430833334,85.30377107777777,1710.4705,15.56667,245,2023,-67.270
28.18317430833334,85.30377107777777,1710.4706,15.57500,245,2023,-67.379
28.18317430833334,85.30377107777777,1710.4706,15.58333,245,2023,-67.241
28.18317430833334,85.30377107777777,1710.4706,15.59167,245,2023,-66.790
28.18317430833334,85.30377107777777,1710.4706,15.60000,245,2023,-67.661
28.18317430833334,85.30377107777777,1710.4706,15.60833,245,2023,-67.438
28.18317430833334,85.30377107777777,1710.4706,15.61667,245,2023,-67.038
28.18317430833334,85.30377107777777,1710.4707,15.62500,245,2023,-66.701
28.18317430833334,85.30377107777777,1710.4707,15.63333,245,2023,-67.175
28.18317430833334,85.30377107499999,1710.4707,15.64167,245,2023,-66.902
28.18317430833334,85.30377107499999,1710.4707,15.65000,245,2023,-66.941
28.18317430833334,85.30377107499999,1710.4708,15.65833,245,2023,-67.459
28.18317430833334,85.30377107499999,1710.4709,15.66667,245,2023,-66.499
28.18317430833334,85.30377107499999,1710.4709,15.67500,245,2023,-66.371
28.18317430833334,85.30377107499999,1710.471,15.68333,245,2023,-66.667
28.18317430833334,85.30377107499999,1710.4711,15.69167,245,2023,-66.403
28.18317430833334,85.30377107499999,1710.4711,15.70000,245,2023,-67.071
28.18317430833334,85.30377107499999,1710.4712,15.70833,245,2023,-66.360
28.18317430833334,85.30377107499999,1710.4713,15.71667,245,2023,-67.217
28.18317430833334,85.30377107499999,1710.4713,15.72500,245,2023,-66.947
28.18317430833334,85.30377107499999,1710.4714,15.73333,245,2023,-66.451
28.18317430833334,85.30377107499999,1710.4715,15.74167,245,2023,-67.174
28.18317430833334,85.30377107499999,1710.4715,15.75000,245,2023,-67.582
28.18317430833334,85.30377107499999,1710.4715,15.75833,245,2023,-67.229
28.18317430833334,85.30377107499999,1710.4715,15.76667,245,2023,-67.641
28.18317430833334,85.30377107499999,1710.4715,15.77500,245,2023,-66.461
28.18317430833334,85.30377107499999,1710.4714,15.78333,245,2023,-67.259
28.18317430833334,85.30377107499999,1710.4714,15.79167,245,2023,-67.712
28.18317430833334,85.30377107499999,1710.4714,15.80000,245,2023,-66.714
28.18317430833334,85.30377107499999,1710.4714,15.80833,245,2023,-66.573
28.18317430833334,85.30377107499999,1710.4715,15.81667,245,2023,-67.310
28.18317430833334,85.30377107499999,1710.4715,15.82500,245,2023,-67.240
28.18317430833334,85.30377107499999,1710.4715,15.83333,245,2023,-67.395
28.18317430833334,85.30377107499999,1710.4715,15.84167,245,2023,-66.551
28.18317430833334,85.30377107499999,1710.4715,15.85000,245,2023,-67.226
28.18317430833334,85.3037710722222,1710.4715,15.85833,245,2023,-67.239
28.18317430833334,85.3037710722222,1710.4715,15.86667,245,2023,-66.384
28.18317430833334,85.3037710722222,1710.4715,15.87500,245,2023,-67.163
28.18317430833334,85.3037710722222,1710.4715,15.88333,245,2023,-67.615
28.18317430833334,85.3037710722222,1710.4716,15.89167,245,2023,-67.588
28.18317430833334,85.3037710722222,1710.4716,15.90000,245,2023,-67.104
28.18317430833334,85.3037710722222,1710.4717,15.90833,245,2023,-66.637
28.18317430833334,85.3037710722222,1710.4717,15.91667,245,2023,-67.418
28.18317430833334,85.3037710722222,1710.4717,15.92500,245,2023,-66.696
28.18317430833334,85.3037710722222,1710.4717,15.93333,245,2023,-67.508
28.18317430833334,85.30377106944441,1710.4717,15.94167,245,2023,-67.232
28.18317430833334,85.30377106944441,1710.4718,15.95000,245,2023,-68.323
28.18317430833334,85.30377106944441,1710.4718,15.95833,245,2023,-68.305
28.18317430833334,85.30377106944441,1710.4718,15.96667,245,2023,-67.773
28.18317430833334,85.30377106944441,1710.4718,15.97500,245,2023,-67.836
28.18317430833334,85.30377106944441,1710.4719,15.98333,245,2023,-67.634
28.18317430833334,85.30377106944441,1710.4719,15.99167,245,2023,-67.939
28.18317430833334,85.30377106944441,1710.4719,16.00000,245,2023,-68.446
28.18317430833334,85.30377106944441,1710.472,16.00833,245,2023,-68.986
28.18317430833334,85.30377106944441,1710.472,16.01667,245,2023,-68.382
28.18317430833334,85.30377106944441,1710.4721,16.02500,245,2023,-68.793
28.18317430833334,85.30377106944441,1710.4721,16.03333,245,2023,-68.213
28.18317430833334,85.30377106666667,1710.4722,16.04167,245,2023,-68.586
28.18317430833334,85.30377106666667,1710.4722,16.05000,245,2023,-68.849
28.18317430833334,85.30377106666667,1710.4723,16.05833,245,2023,-68.525
28.18317430833334,85.30377106666667,1710.4724,16.06667,245,2023,-68.028
28.18317430833334,85.30377106666667,1710.4724,16.07500,245,2023,-68.991
28.18317430833334,85.30377106666667,1710.4725,16.08333,245,2023,-68.297
28.18317430833334,85.30377106666667,1710.4726,16.09167,245,2023,-68.359
28.18317430833334,85.30377106666667,1710.4727,16.10000,245,2023,-69.269
28.18317430833334,85.30377106388889,1710.4727,16.10833,245,2023,-68.408
28.18317430833334,85.30377106388889,1710.4728,16.11667,245,2023,-68.312
28.18317430833334,85.30377106388889,1710.4728,16.12500,245,2023,-68.870
28.18317430833334,85.30377106388889,1710.4729,16.13333,245,2023,-68.441
28.18317430833334,85.30377106388889,1710.473,16.14167,245,2023,-68.516
28.18317430833334,85.30377106388889,1710.4731,16.15000,245,2023,-68.669
28.18317430833334,85.30377106388889,1710.4732,16.15833,245,2023,-69.025
28.18317430833334,85.30377106388889,1710.4732,16.16667,245,2023,-68.525
28.18317430833334,85.30377106388889,1710.4733,16.17500,245,2023,-67.703
28.18317430833334,85.30377106388889,1710.4734,16.18333,245,2023,-69.277
28.18317430833334,85.30377106388889,1710.4734,16.19167,245,2023,-68.086
28.18317430833334,85.30377106388889,1710.4735,16.20000,245,2023,-68.134
28.18317430833334,85.30377106388889,1710.4735,16.20833,245,2023,-68.596
28.18317430833334,85.30377106388889,1710.4735,16.21667,245,2023,-68.294
28.183174311111117,85.30377106388889,1710.4736,16.22500,245,2023,-68.551
28.183174311111117,85.30377106388889,1710.4736,16.23333,245,2023,-69.192
28.183174311111117,85.30377106388889,1710.4737,16.24167,245,2023,-67.854
28.183174311111117,85.30377106388889,1710.4737,16.25000,245,2023,-68.633
28.183174311111117,85.30377106388889,1710.4737,16.25833,245,2023,-68.668
28.183174311111117,85.30377106388889,1710.4738,16.26667,245,2023,-68.575
28.183174311111117,85.30377106388889,1710.4738,16.27500,245,2023,-68.911
28.183174311111117,85.30377106388889,1710.4739,16.28333,245,2023,-68.913
28.183174311111117,85.30377106666667,1710.474,16.29167,245,2023,-68.520
28.183174311111117,85.30377106666667,1710.474,16.30000,245,2023,-68.238
28.183174311111117,85.30377106666667,1710.474,16.30833,245,2023,-67.289
28.183174311111117,85.30377106666667,1710.4741,16.31667,245,2023,-67.355
28.183174311111117,85.30377106666667,1710.4741,16.32500,245,2023,-67.637
